_id	x	y	senses
time/NN/Encow_sample_19169/30	2.8341	6.0309	time_8
time/NN/Encow_sample_13763/11	-0.7613	-0.1466	time_8
time/NN/Encow_sample_26097/34	15.2587	11.2952	time_3
time/NN/Encow_sample_29961/51	7.2345	13.4378	time_2
time/NN/Encow_sample_22532/31	-23.3393	-18.4938	time_8
time/NN/Encow_sample_22426/41	16.0758	21.2373	time_2
time/NN/Encow_sample_27594/9	27.2957	-21.2641	time_1
time/NNS/Encow_sample_1335/43	25.0851	7.7199	time_2
time/NN/Encow_sample_18846/62	4.5775	16.9209	time_8
time/NN/Encow_sample_12730/29	23.3382	-24.8199	time_4
time/NNS/Encow_sample_29635/8	0.4627	-21.4156	time_3
time/NN/Encow_sample_17604/56	3.4527	16.2155	time_2
time/NN/Encow_sample_21234/13	24.9735	19.6344	time_2
time/NN/Encow_sample_30196/39	-31.657	-15.3615	time_2
time/NN/Encow_sample_24542/52	-14.9828	18.7479	time_1
time/NN/Encow_sample_30814/79	-18.027	23.4189	time_8
time/NN/Encow_sample_7590/50	6.1904	1.8839	time_8
time/NN/Encow_sample_2274/48	16.526	19.3719	time_1
time/NN/Encow_sample_25458/7	6.9158	7.3122	time_3
time/NN/Encow_sample_29900/29	1.768	12.7008	time_1
time/NNS/Encow_sample_9542/56	21.0735	-14.3619	time_2
time/NN/Encow_sample_23962/41	9.6497	21.9297	time_1
time/NN/Encow_sample_4256/78	3.6634	12.5832	time_6
time/NNS/Encow_sample_2047/33	2.4068	-16.2793	time_3
time/NNS/Encow_sample_11157/77	6.6827	-16.1837	time_1
time/NN/Encow_sample_11118/36	-4.7238	9.2636	time_8
time/NN/Encow_sample_20015/45	4.1698	14.782	time_1
time/NN/Encow_sample_22719/65	15.8268	11.689	time_3
time/NNS/Encow_sample_761/14	8.5294	-7.4879	time_3
time/NN/Encow_sample_33321/12	10.7321	-0.1198	time_8
time/NNS/Encow_sample_6539/60	10.3866	0.0082	time_2
time/NN/Encow_sample_22507/42	14.0072	22.1637	time_2
time/NN/Encow_sample_7678/62	21.536	-3.547	time_5
time/NNS/Encow_sample_30254/57	9.4265	-16.0066	time_2
time/NN/Encow_sample_22128/10	3.6866	13.0073	time_8
time/NN/Encow_sample_21447/8	-28.1427	16.1739	time_5
time/NNS/Encow_sample_7817/116	-0.4101	-18.8243	time_2
time/NN/Encow_sample_28453/13	-0.2825	3.9646	time_2
time/NN/Encow_sample_28453/78	-17.5986	9.8534	time_2
time/NN/Encow_sample_31631/17	-16.2694	14.9346	time_4
time/NN/Encow_sample_17271/14	-26.9927	-13.1164	time_2
time/NN/Encow_sample_11787/71	0.0	0.0	time_2
time/NN/Encow_sample_9850/59	10.6249	-12.396	time_2
time/NN/Encow_sample_1927/54	12.2024	19.635	time_8
time/NN/Encow_sample_32402/62	-20.8611	23.7919	time_7
time/NNS/Encow_sample_3171/79	1.0472	-19.6284	time_1
time/NN/Encow_sample_4935/57	-24.2185	-5.5284	time_2
time/NN/Encow_sample_10653/78	27.0649	-22.2084	time_1
time/NNS/Encow_sample_8171/62	20.6399	24.4359	time_1
time/NN/Encow_sample_15457/37	-17.4118	12.827	time_2
time/NNS/Encow_sample_10558/54	21.3443	-14.8501	time_2
time/NN/Encow_sample_31726/32	10.4595	-3.4026	time_1
time/NN/Encow_sample_25729/54	0.1148	10.2018	time_4
time/NN/Encow_sample_10807/106	4.2794	22.0161	time_1
time/NN/Encow_sample_23304/103	21.0583	-27.2568	time_1
time/NN/Encow_sample_1117/53	-31.5713	-17.0751	time_3
time/NN/Encow_sample_29348/41	19.251	17.2095	time_4
time/NN/Encow_sample_280/78	12.3992	-32.5097	time_8
time/NN/Encow_sample_1556/22	-28.9126	-10.3702	time_7
